Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
54,51,6,5,49,46,43,Train/43/43_00105_00000.png
57,54,6,6,51,49,43,Train/43/43_00105_00001.png
58,56,5,6,53,51,43,Train/43/43_00105_00002.png
62,58,5,5,57,53,43,Train/43/43_00105_00003.png
64,61,5,6,58,56,43,Train/43/43_00105_00004.png
67,64,6,6,61,59,43,Train/43/43_00105_00005.png
73,71,6,6,67,65,43,Train/43/43_00105_00006.png
77,75,7,7,71,69,43,Train/43/43_00105_00007.png
83,80,8,8,76,73,43,Train/43/43_00105_00008.png
92,86,8,7,84,79,43,Train/43/43_00105_00009.png
100,95,9,9,92,87,43,Train/43/43_00105_00010.png
106,99,10,9,97,91,43,Train/43/43_00105_00011.png
117,118,7,11,107,108,43,Train/43/43_00105_00012.png
29,29,6,6,24,24,43,Train/43/43_00105_00013.png
29,29,6,6,24,24,43,Train/43/43_00105_00014.png
31,31,6,6,26,26,43,Train/43/43_00105_00015.png
30,31,5,6,25,26,43,Train/43/43_00105_00016.png
32,33,5,6,27,28,43,Train/43/43_00105_00017.png
32,33,5,6,27,28,43,Train/43/43_00105_00018.png
33,32,6,5,28,27,43,Train/43/43_00105_00019.png
33,33,6,6,28,28,43,Train/43/43_00105_00020.png
34,33,6,5,29,28,43,Train/43/43_00105_00021.png
33,34,5,6,28,29,43,Train/43/43_00105_00022.png
33,34,5,6,28,29,43,Train/43/43_00105_00023.png
36,35,6,5,31,30,43,Train/43/43_00105_00024.png
36,36,5,5,31,31,43,Train/43/43_00105_00025.png
36,37,5,6,31,32,43,Train/43/43_00105_00026.png
37,37,6,6,32,32,43,Train/43/43_00105_00027.png
37,37,6,6,32,32,43,Train/43/43_00105_00028.png
41,41,6,6,36,36,43,Train/43/43_00106_00000.png
41,41,6,6,36,36,43,Train/43/43_00106_00001.png
41,40,6,5,36,35,43,Train/43/43_00106_00002.png
40,41,5,6,35,36,43,Train/43/43_00106_00003.png
41,40,6,5,36,35,43,Train/43/43_00106_00004.png
40,41,5,6,35,36,43,Train/43/43_00106_00005.png
40,40,5,5,35,35,43,Train/43/43_00106_00006.png
42,42,5,5,37,37,43,Train/43/43_00106_00007.png
44,44,6,6,39,39,43,Train/43/43_00106_00008.png
47,46,6,5,42,41,43,Train/43/43_00106_00009.png
48,49,5,6,43,44,43,Train/43/43_00106_00010.png
52,53,5,6,47,48,43,Train/43/43_00106_00011.png
54,55,5,6,49,50,43,Train/43/43_00106_00012.png
58,58,5,5,53,53,43,Train/43/43_00106_00013.png
28,26,5,6,22,21,43,Train/43/43_00106_00014.png
28,26,5,5,22,20,43,Train/43/43_00106_00015.png
30,28,6,6,24,22,43,Train/43/43_00106_00016.png
30,29,5,6,25,24,43,Train/43/43_00106_00017.png
30,29,5,6,25,24,43,Train/43/43_00106_00018.png
32,29,6,5,27,24,43,Train/43/43_00106_00019.png
32,29,5,5,26,24,43,Train/43/43_00106_00020.png
32,31,5,6,27,26,43,Train/43/43_00106_00021.png
33,30,6,5,28,25,43,Train/43/43_00106_00022.png
33,31,5,5,27,25,43,Train/43/43_00106_00023.png
35,32,6,5,30,27,43,Train/43/43_00106_00024.png
36,33,5,5,30,28,43,Train/43/43_00106_00025.png
38,35,6,6,33,30,43,Train/43/43_00106_00026.png
39,35,6,5,33,29,43,Train/43/43_00106_00027.png
40,37,6,6,34,31,43,Train/43/43_00106_00028.png
40,37,5,6,34,32,43,Train/43/43_00107_00000.png
40,38,5,5,35,32,43,Train/43/43_00107_00001.png
43,40,6,6,38,35,43,Train/43/43_00107_00002.png
44,42,6,6,39,36,43,Train/43/43_00107_00003.png
46,42,6,5,41,37,43,Train/43/43_00107_00004.png
48,44,6,5,43,39,43,Train/43/43_00107_00005.png
49,47,5,6,44,42,43,Train/43/43_00107_00006.png
49,47,5,6,44,42,43,Train/43/43_00107_00007.png
51,48,5,5,46,43,43,Train/43/43_00107_00008.png
51,48,5,5,46,43,43,Train/43/43_00107_00009.png
53,50,6,6,48,45,43,Train/43/43_00107_00010.png
55,51,6,5,50,46,43,Train/43/43_00107_00011.png
59,55,5,6,54,50,43,Train/43/43_00107_00012.png
68,60,7,5,62,55,43,Train/43/43_00107_00013.png
74,67,7,6,68,61,43,Train/43/43_00107_00014.png
27,25,6,5,22,20,43,Train/43/43_00107_00015.png
27,27,6,6,22,21,43,Train/43/43_00107_00016.png
28,28,5,6,22,22,43,Train/43/43_00107_00017.png
29,27,5,5,23,22,43,Train/43/43_00107_00018.png
30,28,6,5,25,22,43,Train/43/43_00107_00019.png
30,28,6,6,25,23,43,Train/43/43_00107_00020.png
31,29,6,6,26,24,43,Train/43/43_00107_00021.png
32,30,5,6,26,25,43,Train/43/43_00107_00022.png
33,31,6,5,28,25,43,Train/43/43_00107_00023.png
35,31,6,5,29,25,43,Train/43/43_00107_00024.png
35,32,5,6,29,27,43,Train/43/43_00107_00025.png
35,34,5,6,30,28,43,Train/43/43_00107_00026.png
37,35,5,6,31,29,43,Train/43/43_00107_00027.png
38,36,5,6,32,30,43,Train/43/43_00107_00028.png
39,36,5,5,33,30,43,Train/43/43_00108_00000.png
41,38,6,6,35,32,43,Train/43/43_00108_00001.png
41,39,5,6,36,33,43,Train/43/43_00108_00002.png
43,40,6,6,38,34,43,Train/43/43_00108_00003.png
45,42,5,6,40,36,43,Train/43/43_00108_00004.png
49,44,6,6,44,39,43,Train/43/43_00108_00005.png
50,44,6,5,45,39,43,Train/43/43_00108_00006.png
52,46,5,5,47,40,43,Train/43/43_00108_00007.png
55,49,5,5,50,43,43,Train/43/43_00108_00008.png
60,52,6,5,54,46,43,Train/43/43_00108_00009.png
62,55,5,6,57,50,43,Train/43/43_00108_00010.png
67,57,6,6,61,52,43,Train/43/43_00108_00011.png
72,60,6,5,65,55,43,Train/43/43_00108_00012.png
76,66,6,6,69,60,43,Train/43/43_00108_00013.png
84,71,8,6,76,64,43,Train/43/43_00108_00014.png
89,75,8,6,81,69,43,Train/43/43_00108_00015.png
27,27,6,6,22,22,43,Train/43/43_00108_00016.png
27,27,6,6,22,22,43,Train/43/43_00108_00017.png
26,27,5,6,21,22,43,Train/43/43_00108_00018.png
27,28,5,6,22,23,43,Train/43/43_00108_00019.png
27,28,5,6,22,23,43,Train/43/43_00108_00020.png
28,28,6,6,23,23,43,Train/43/43_00108_00021.png
27,28,5,6,22,23,43,Train/43/43_00108_00022.png
27,28,5,6,22,23,43,Train/43/43_00108_00023.png
27,28,5,6,22,23,43,Train/43/43_00108_00024.png
28,28,5,5,23,23,43,Train/43/43_00108_00025.png
27,27,5,5,22,22,43,Train/43/43_00108_00026.png
28,29,5,6,23,24,43,Train/43/43_00108_00027.png
28,28,5,5,23,23,43,Train/43/43_00108_00028.png
30,30,5,5,25,25,43,Train/43/43_00109_00000.png
30,30,5,5,25,25,43,Train/43/43_00109_00001.png
31,32,5,6,25,27,43,Train/43/43_00109_00002.png
33,32,6,5,28,27,43,Train/43/43_00109_00003.png
34,35,5,6,29,30,43,Train/43/43_00109_00004.png
38,36,6,5,33,31,43,Train/43/43_00109_00005.png
40,39,5,6,35,34,43,Train/43/43_00109_00006.png
41,41,5,6,36,35,43,Train/43/43_00109_00007.png
44,42,5,5,38,36,43,Train/43/43_00109_00008.png
48,45,6,5,43,40,43,Train/43/43_00109_00009.png
53,50,6,6,47,45,43,Train/43/43_00109_00010.png
57,55,5,6,52,50,43,Train/43/43_00109_00011.png
63,60,5,5,58,55,43,Train/43/43_00109_00012.png
74,71,7,7,68,65,43,Train/43/43_00109_00013.png
88,84,8,7,81,77,43,Train/43/43_00109_00014.png
106,100,10,8,97,92,43,Train/43/43_00109_00015.png
124,119,11,10,114,109,43,Train/43/43_00109_00016.png
30,30,5,5,25,25,43,Train/43/43_00109_00017.png
30,31,5,6,25,26,43,Train/43/43_00109_00018.png
30,30,5,5,25,25,43,Train/43/43_00109_00019.png
30,31,5,6,25,26,43,Train/43/43_00109_00020.png
31,31,5,5,26,26,43,Train/43/43_00109_00021.png
32,31,6,5,27,26,43,Train/43/43_00109_00022.png
32,31,6,5,27,26,43,Train/43/43_00109_00023.png
32,33,5,6,27,28,43,Train/43/43_00109_00024.png
34,35,5,6,29,30,43,Train/43/43_00109_00025.png
35,34,6,5,30,29,43,Train/43/43_00109_00026.png
34,34,5,5,29,29,43,Train/43/43_00109_00027.png
35,35,6,6,30,30,43,Train/43/43_00109_00028.png
35,35,5,5,30,30,43,Train/43/43_00110_00000.png
36,36,6,6,31,31,43,Train/43/43_00110_00001.png
36,36,6,6,31,31,43,Train/43/43_00110_00002.png
40,40,6,6,35,35,43,Train/43/43_00110_00003.png
39,40,5,6,34,35,43,Train/43/43_00110_00004.png
40,40,6,6,35,35,43,Train/43/43_00110_00005.png
40,40,5,5,35,35,43,Train/43/43_00110_00006.png
41,40,6,5,36,35,43,Train/43/43_00110_00007.png
42,43,5,6,37,38,43,Train/43/43_00110_00008.png
44,44,5,5,39,39,43,Train/43/43_00110_00009.png
45,45,6,6,40,40,43,Train/43/43_00110_00010.png
48,48,5,5,43,43,43,Train/43/43_00110_00011.png
50,50,5,5,45,45,43,Train/43/43_00110_00012.png
53,53,6,6,48,48,43,Train/43/43_00110_00013.png
55,55,6,6,50,50,43,Train/43/43_00110_00014.png
61,61,6,6,56,56,43,Train/43/43_00110_00015.png
73,72,7,6,67,66,43,Train/43/43_00110_00016.png
76,76,6,6,70,70,43,Train/43/43_00110_00017.png
36,36,5,5,31,31,43,Train/43/43_00110_00018.png
37,36,6,5,32,31,43,Train/43/43_00110_00019.png
36,36,5,5,31,31,43,Train/43/43_00110_00020.png
37,36,6,5,32,31,43,Train/43/43_00110_00021.png
38,38,6,6,33,33,43,Train/43/43_00110_00022.png
39,38,6,5,34,33,43,Train/43/43_00110_00023.png
39,40,5,6,34,35,43,Train/43/43_00110_00024.png
39,40,5,6,34,35,43,Train/43/43_00110_00025.png
39,39,5,5,34,34,43,Train/43/43_00110_00026.png
40,40,6,6,35,35,43,Train/43/43_00110_00027.png
39,40,5,6,34,35,43,Train/43/43_00110_00028.png
40,40,6,6,35,35,43,Train/43/43_00111_00000.png
40,40,6,6,35,35,43,Train/43/43_00111_00001.png
39,39,5,5,34,34,43,Train/43/43_00111_00002.png
43,42,6,5,38,37,43,Train/43/43_00111_00003.png
43,43,6,6,38,38,43,Train/43/43_00111_00004.png
43,42,6,5,38,37,43,Train/43/43_00111_00005.png
43,43,6,6,38,38,43,Train/43/43_00111_00006.png
45,44,6,5,40,39,43,Train/43/43_00111_00007.png
45,44,6,5,40,39,43,Train/43/43_00111_00008.png
47,47,6,6,42,42,43,Train/43/43_00111_00009.png
47,47,6,6,42,42,43,Train/43/43_00111_00010.png
47,47,6,6,42,42,43,Train/43/43_00111_00011.png
50,50,6,6,45,45,43,Train/43/43_00111_00012.png
52,52,5,5,47,47,43,Train/43/43_00111_00013.png
54,54,5,5,49,49,43,Train/43/43_00111_00014.png
56,57,5,6,51,52,43,Train/43/43_00111_00015.png
57,57,6,6,52,52,43,Train/43/43_00111_00016.png
59,58,6,5,54,53,43,Train/43/43_00111_00017.png
61,60,6,5,56,55,43,Train/43/43_00111_00018.png
29,25,6,5,24,20,43,Train/43/43_00111_00019.png
31,29,6,6,26,23,43,Train/43/43_00111_00020.png
33,29,6,5,28,24,43,Train/43/43_00111_00021.png
35,33,6,6,30,27,43,Train/43/43_00111_00022.png
35,33,5,6,29,27,43,Train/43/43_00111_00023.png
37,32,6,5,31,27,43,Train/43/43_00111_00024.png
37,34,6,6,32,29,43,Train/43/43_00111_00025.png
37,33,6,5,32,28,43,Train/43/43_00111_00026.png
37,34,5,5,32,29,43,Train/43/43_00111_00027.png
38,35,5,6,33,30,43,Train/43/43_00111_00028.png
40,35,6,5,35,30,43,Train/43/43_00112_00000.png
40,37,5,6,35,32,43,Train/43/43_00112_00001.png
42,37,6,5,36,31,43,Train/43/43_00112_00002.png
42,38,5,5,36,32,43,Train/43/43_00112_00003.png
44,40,6,6,38,34,43,Train/43/43_00112_00004.png
44,40,6,6,39,35,43,Train/43/43_00112_00005.png
45,41,5,5,40,35,43,Train/43/43_00112_00006.png
47,43,5,6,41,37,43,Train/43/43_00112_00007.png
49,44,6,5,44,38,43,Train/43/43_00112_00008.png
51,46,6,5,46,40,43,Train/43/43_00112_00009.png
54,48,6,6,49,43,43,Train/43/43_00112_00010.png
57,50,6,5,52,45,43,Train/43/43_00112_00011.png
58,52,5,5,53,47,43,Train/43/43_00112_00012.png
63,55,6,5,57,50,43,Train/43/43_00112_00013.png
64,57,5,5,59,52,43,Train/43/43_00112_00014.png
71,62,7,5,65,56,43,Train/43/43_00112_00015.png
75,69,6,7,69,62,43,Train/43/43_00112_00016.png
81,71,8,7,74,65,43,Train/43/43_00112_00017.png
88,77,7,7,80,71,43,Train/43/43_00112_00018.png
95,84,8,8,87,77,43,Train/43/43_00112_00019.png
28,25,5,5,23,20,43,Train/43/43_00112_00020.png
30,27,5,5,25,22,43,Train/43/43_00112_00021.png
31,28,6,6,26,23,43,Train/43/43_00112_00022.png
30,28,5,6,25,23,43,Train/43/43_00112_00023.png
30,28,5,6,25,23,43,Train/43/43_00112_00024.png
31,27,5,5,25,22,43,Train/43/43_00112_00025.png
31,30,5,6,26,24,43,Train/43/43_00112_00026.png
31,29,6,6,26,24,43,Train/43/43_00112_00027.png
32,30,6,6,26,25,43,Train/43/43_00112_00028.png
33,31,6,5,27,25,43,Train/43/43_00113_00000.png
35,32,6,5,29,26,43,Train/43/43_00113_00001.png
35,32,5,5,29,27,43,Train/43/43_00113_00002.png
37,34,6,5,31,28,43,Train/43/43_00113_00003.png
37,35,6,6,32,30,43,Train/43/43_00113_00004.png
39,36,6,6,33,31,43,Train/43/43_00113_00005.png
40,38,5,6,34,33,43,Train/43/43_00113_00006.png
42,38,6,5,36,33,43,Train/43/43_00113_00007.png
42,41,5,6,37,36,43,Train/43/43_00113_00008.png
45,43,6,6,40,38,43,Train/43/43_00113_00009.png
47,45,6,6,42,40,43,Train/43/43_00113_00010.png
48,46,6,6,43,41,43,Train/43/43_00113_00011.png
50,48,5,5,45,43,43,Train/43/43_00113_00012.png
52,48,6,6,47,43,43,Train/43/43_00113_00013.png
57,53,5,5,52,48,43,Train/43/43_00113_00014.png
58,54,6,6,53,49,43,Train/43/43_00113_00015.png
62,59,5,6,57,54,43,Train/43/43_00113_00016.png
71,59,6,5,65,54,43,Train/43/43_00113_00017.png
73,73,6,7,67,67,43,Train/43/43_00113_00018.png
86,76,7,6,79,70,43,Train/43/43_00113_00019.png
99,88,9,8,91,81,43,Train/43/43_00113_00020.png
27,26,5,5,22,20,43,Train/43/43_00113_00021.png
28,27,5,6,23,22,43,Train/43/43_00113_00022.png
29,26,6,5,24,21,43,Train/43/43_00113_00023.png
28,27,5,6,23,22,43,Train/43/43_00113_00024.png
28,26,5,5,23,21,43,Train/43/43_00113_00025.png
31,27,6,5,26,22,43,Train/43/43_00113_00026.png
31,28,6,6,26,23,43,Train/43/43_00113_00027.png
31,28,6,6,26,23,43,Train/43/43_00113_00028.png
31,29,5,6,26,24,43,Train/43/43_00114_00000.png
34,32,6,6,29,26,43,Train/43/43_00114_00001.png
36,33,5,6,31,28,43,Train/43/43_00114_00002.png
37,34,5,6,32,29,43,Train/43/43_00114_00003.png
38,34,5,6,32,29,43,Train/43/43_00114_00004.png
40,34,6,6,34,29,43,Train/43/43_00114_00005.png
39,34,5,5,34,29,43,Train/43/43_00114_00006.png
42,36,6,5,37,31,43,Train/43/43_00114_00007.png
45,39,6,5,40,34,43,Train/43/43_00114_00008.png
47,42,5,5,41,36,43,Train/43/43_00114_00009.png
50,45,5,5,45,40,43,Train/43/43_00114_00010.png
55,49,6,5,49,43,43,Train/43/43_00114_00011.png
56,51,6,6,51,46,43,Train/43/43_00114_00012.png
59,54,5,5,54,49,43,Train/43/43_00114_00013.png
64,57,6,5,59,52,43,Train/43/43_00114_00014.png
70,61,6,5,64,56,43,Train/43/43_00114_00015.png
76,69,6,6,70,63,43,Train/43/43_00114_00016.png
86,75,8,6,79,69,43,Train/43/43_00114_00017.png
97,87,8,7,89,80,43,Train/43/43_00114_00018.png
111,100,9,8,102,92,43,Train/43/43_00114_00019.png
131,119,12,11,120,109,43,Train/43/43_00114_00020.png
166,152,15,14,152,139,43,Train/43/43_00114_00021.png
29,31,5,6,24,26,43,Train/43/43_00114_00022.png
31,30,6,5,25,25,43,Train/43/43_00114_00023.png
31,31,5,6,26,26,43,Train/43/43_00114_00024.png
33,31,6,5,28,25,43,Train/43/43_00114_00025.png
34,32,5,6,29,27,43,Train/43/43_00114_00026.png
36,33,6,6,30,27,43,Train/43/43_00114_00027.png
37,34,6,6,32,29,43,Train/43/43_00114_00028.png
37,34,5,5,31,28,43,Train/43/43_00115_00000.png
38,36,5,6,33,31,43,Train/43/43_00115_00001.png
38,35,5,5,33,30,43,Train/43/43_00115_00002.png
40,37,5,6,35,32,43,Train/43/43_00115_00003.png
41,37,5,5,36,31,43,Train/43/43_00115_00004.png
43,39,5,6,37,33,43,Train/43/43_00115_00005.png
44,39,6,6,39,34,43,Train/43/43_00115_00006.png
44,39,5,5,39,34,43,Train/43/43_00115_00007.png
45,41,5,6,40,35,43,Train/43/43_00115_00008.png
47,41,6,6,42,36,43,Train/43/43_00115_00009.png
44,42,5,6,39,37,43,Train/43/43_00115_00010.png
45,42,5,6,40,37,43,Train/43/43_00115_00011.png
50,42,6,5,45,37,43,Train/43/43_00115_00012.png
50,43,5,5,45,38,43,Train/43/43_00115_00013.png
51,44,5,5,46,39,43,Train/43/43_00115_00014.png
54,46,6,6,48,41,43,Train/43/43_00115_00015.png
55,47,6,5,50,42,43,Train/43/43_00115_00016.png
57,49,6,6,51,44,43,Train/43/43_00115_00017.png
59,51,6,6,53,46,43,Train/43/43_00115_00018.png
59,52,5,6,54,47,43,Train/43/43_00115_00019.png
63,54,6,5,58,48,43,Train/43/43_00115_00020.png
65,56,6,6,59,51,43,Train/43/43_00115_00021.png
69,58,6,5,63,53,43,Train/43/43_00115_00022.png
33,32,5,5,28,27,43,Train/43/43_00115_00023.png
33,33,5,6,28,28,43,Train/43/43_00115_00024.png
35,35,6,6,30,29,43,Train/43/43_00115_00025.png
35,35,5,6,30,30,43,Train/43/43_00115_00026.png
36,34,6,5,31,29,43,Train/43/43_00115_00027.png
36,36,5,6,31,31,43,Train/43/43_00115_00028.png
38,37,6,6,33,32,43,Train/43/43_00116_00000.png
38,37,6,6,33,32,43,Train/43/43_00116_00001.png
38,37,5,5,33,32,43,Train/43/43_00116_00002.png
39,39,5,6,34,34,43,Train/43/43_00116_00003.png
41,40,5,6,36,35,43,Train/43/43_00116_00004.png
43,40,6,6,38,35,43,Train/43/43_00116_00005.png
44,41,6,6,39,36,43,Train/43/43_00116_00006.png
44,42,6,5,39,37,43,Train/43/43_00116_00007.png
45,44,6,6,40,39,43,Train/43/43_00116_00008.png
47,46,5,6,42,41,43,Train/43/43_00116_00009.png
49,46,6,5,44,41,43,Train/43/43_00116_00010.png
50,48,6,6,45,43,43,Train/43/43_00116_00011.png
52,51,5,6,47,46,43,Train/43/43_00116_00012.png
55,52,6,5,50,47,43,Train/43/43_00116_00013.png
56,53,6,5,51,48,43,Train/43/43_00116_00014.png
58,57,5,6,53,52,43,Train/43/43_00116_00015.png
61,59,6,6,56,53,43,Train/43/43_00116_00016.png
63,59,6,5,58,54,43,Train/43/43_00116_00017.png
68,65,6,6,62,60,43,Train/43/43_00116_00018.png
72,71,7,7,66,64,43,Train/43/43_00116_00019.png
81,77,8,7,74,71,43,Train/43/43_00116_00020.png
87,81,8,7,80,74,43,Train/43/43_00116_00021.png
92,85,8,7,84,78,43,Train/43/43_00116_00022.png
105,99,10,8,96,91,43,Train/43/43_00116_00023.png
34,34,5,6,29,29,43,Train/43/43_00116_00024.png
35,34,5,5,29,28,43,Train/43/43_00116_00025.png
37,35,6,5,32,29,43,Train/43/43_00116_00026.png
38,36,6,6,33,31,43,Train/43/43_00116_00027.png
38,37,6,6,33,31,43,Train/43/43_00116_00028.png
39,38,5,6,33,32,43,Train/43/43_00117_00000.png
39,38,5,6,34,33,43,Train/43/43_00117_00001.png
40,38,6,5,35,32,43,Train/43/43_00117_00002.png
42,39,6,6,37,34,43,Train/43/43_00117_00003.png
42,39,5,5,37,34,43,Train/43/43_00117_00004.png
43,41,5,6,38,36,43,Train/43/43_00117_00005.png
45,43,5,6,40,38,43,Train/43/43_00117_00006.png
46,44,5,6,41,39,43,Train/43/43_00117_00007.png
48,45,6,6,43,40,43,Train/43/43_00117_00008.png
49,47,5,5,44,41,43,Train/43/43_00117_00009.png
51,49,6,6,46,44,43,Train/43/43_00117_00010.png
53,51,6,6,48,45,43,Train/43/43_00117_00011.png
54,51,6,5,49,46,43,Train/43/43_00117_00012.png
57,54,6,6,51,49,43,Train/43/43_00117_00013.png
58,56,5,6,53,51,43,Train/43/43_00117_00014.png
62,58,5,5,57,53,43,Train/43/43_00117_00015.png
64,61,5,6,58,56,43,Train/43/43_00117_00016.png
67,64,6,6,61,59,43,Train/43/43_00117_00017.png
73,71,6,6,67,65,43,Train/43/43_00117_00018.png
77,75,7,7,71,69,43,Train/43/43_00117_00019.png
83,80,8,8,76,73,43,Train/43/43_00117_00020.png
92,86,8,7,84,79,43,Train/43/43_00117_00021.png
100,95,9,9,92,87,43,Train/43/43_00117_00022.png
106,99,10,9,97,91,43,Train/43/43_00117_00023.png
117,118,7,11,107,108,43,Train/43/43_00117_00024.png
29,29,6,6,24,24,43,Train/43/43_00117_00025.png
29,29,6,6,24,24,43,Train/43/43_00117_00026.png
31,31,6,6,26,26,43,Train/43/43_00117_00027.png
30,31,5,6,25,26,43,Train/43/43_00117_00028.png
32,33,5,6,27,28,43,Train/43/43_00118_00000.png
32,33,5,6,27,28,43,Train/43/43_00118_00001.png
33,32,6,5,28,27,43,Train/43/43_00118_00002.png
33,33,6,6,28,28,43,Train/43/43_00118_00003.png
34,33,6,5,29,28,43,Train/43/43_00118_00004.png
33,34,5,6,28,29,43,Train/43/43_00118_00005.png
33,34,5,6,28,29,43,Train/43/43_00118_00006.png
36,35,6,5,31,30,43,Train/43/43_00118_00007.png
36,36,5,5,31,31,43,Train/43/43_00118_00008.png
36,37,5,6,31,32,43,Train/43/43_00118_00009.png
37,37,6,6,32,32,43,Train/43/43_00118_00010.png
37,37,6,6,32,32,43,Train/43/43_00118_00011.png
41,41,6,6,36,36,43,Train/43/43_00118_00012.png
41,41,6,6,36,36,43,Train/43/43_00118_00013.png
41,40,6,5,36,35,43,Train/43/43_00118_00014.png
40,41,5,6,35,36,43,Train/43/43_00118_00015.png
41,40,6,5,36,35,43,Train/43/43_00118_00016.png
40,41,5,6,35,36,43,Train/43/43_00118_00017.png
40,40,5,5,35,35,43,Train/43/43_00118_00018.png
42,42,5,5,37,37,43,Train/43/43_00118_00019.png
44,44,6,6,39,39,43,Train/43/43_00118_00020.png
47,46,6,5,42,41,43,Train/43/43_00118_00021.png
48,49,5,6,43,44,43,Train/43/43_00118_00022.png
52,53,5,6,47,48,43,Train/43/43_00118_00023.png
54,55,5,6,49,50,43,Train/43/43_00118_00024.png
58,58,5,5,53,53,43,Train/43/43_00118_00025.png
28,26,5,6,22,21,43,Train/43/43_00118_00026.png
28,26,5,5,22,20,43,Train/43/43_00118_00027.png
30,28,6,6,24,22,43,Train/43/43_00118_00028.png
30,29,5,6,25,24,43,Train/43/43_00119_00000.png
30,29,5,6,25,24,43,Train/43/43_00119_00001.png
32,29,6,5,27,24,43,Train/43/43_00119_00002.png
32,29,5,5,26,24,43,Train/43/43_00119_00003.png
32,31,5,6,27,26,43,Train/43/43_00119_00004.png
33,30,6,5,28,25,43,Train/43/43_00119_00005.png
33,31,5,5,27,25,43,Train/43/43_00119_00006.png
35,32,6,5,30,27,43,Train/43/43_00119_00007.png
36,33,5,5,30,28,43,Train/43/43_00119_00008.png
38,35,6,6,33,30,43,Train/43/43_00119_00009.png
39,35,6,5,33,29,43,Train/43/43_00119_00010.png
40,37,6,6,34,31,43,Train/43/43_00119_00011.png
40,37,5,6,34,32,43,Train/43/43_00119_00012.png
40,38,5,5,35,32,43,Train/43/43_00119_00013.png
43,40,6,6,38,35,43,Train/43/43_00119_00014.png
44,42,6,6,39,36,43,Train/43/43_00119_00015.png
46,42,6,5,41,37,43,Train/43/43_00119_00016.png
48,44,6,5,43,39,43,Train/43/43_00119_00017.png
49,47,5,6,44,42,43,Train/43/43_00119_00018.png
49,47,5,6,44,42,43,Train/43/43_00119_00019.png
51,48,5,5,46,43,43,Train/43/43_00119_00020.png
51,48,5,5,46,43,43,Train/43/43_00119_00021.png
53,50,6,6,48,45,43,Train/43/43_00119_00022.png
55,51,6,5,50,46,43,Train/43/43_00119_00023.png
59,55,5,6,54,50,43,Train/43/43_00119_00024.png
68,60,7,5,62,55,43,Train/43/43_00119_00025.png
74,67,7,6,68,61,43,Train/43/43_00119_00026.png
27,25,6,5,22,20,43,Train/43/43_00119_00027.png
27,27,6,6,22,21,43,Train/43/43_00119_00028.png
28,28,5,6,22,22,43,Train/43/43_00120_00000.png
29,27,5,5,23,22,43,Train/43/43_00120_00001.png
30,28,6,5,25,22,43,Train/43/43_00120_00002.png
30,28,6,6,25,23,43,Train/43/43_00120_00003.png
31,29,6,6,26,24,43,Train/43/43_00120_00004.png
32,30,5,6,26,25,43,Train/43/43_00120_00005.png
33,31,6,5,28,25,43,Train/43/43_00120_00006.png
35,31,6,5,29,25,43,Train/43/43_00120_00007.png
35,32,5,6,29,27,43,Train/43/43_00120_00008.png
35,34,5,6,30,28,43,Train/43/43_00120_00009.png
37,35,5,6,31,29,43,Train/43/43_00120_00010.png
38,36,5,6,32,30,43,Train/43/43_00120_00011.png
39,36,5,5,33,30,43,Train/43/43_00120_00012.png
41,38,6,6,35,32,43,Train/43/43_00120_00013.png
41,39,5,6,36,33,43,Train/43/43_00120_00014.png
43,40,6,6,38,34,43,Train/43/43_00120_00015.png
45,42,5,6,40,36,43,Train/43/43_00120_00016.png
49,44,6,6,44,39,43,Train/43/43_00120_00017.png
50,44,6,5,45,39,43,Train/43/43_00120_00018.png
52,46,5,5,47,40,43,Train/43/43_00120_00019.png
55,49,5,5,50,43,43,Train/43/43_00120_00020.png
60,52,6,5,54,46,43,Train/43/43_00120_00021.png
62,55,5,6,57,50,43,Train/43/43_00120_00022.png
67,57,6,6,61,52,43,Train/43/43_00120_00023.png
72,60,6,5,65,55,43,Train/43/43_00120_00024.png
76,66,6,6,69,60,43,Train/43/43_00120_00025.png
84,71,8,6,76,64,43,Train/43/43_00120_00026.png
89,75,8,6,81,69,43,Train/43/43_00120_00027.png
27,27,6,6,22,22,43,Train/43/43_00120_00028.png
27,27,6,6,22,22,43,Train/43/43_00121_00000.png
26,27,5,6,21,22,43,Train/43/43_00121_00001.png
27,28,5,6,22,23,43,Train/43/43_00121_00002.png
27,28,5,6,22,23,43,Train/43/43_00121_00003.png
28,28,6,6,23,23,43,Train/43/43_00121_00004.png
27,28,5,6,22,23,43,Train/43/43_00121_00005.png
27,28,5,6,22,23,43,Train/43/43_00121_00006.png
27,28,5,6,22,23,43,Train/43/43_00121_00007.png
28,28,5,5,23,23,43,Train/43/43_00121_00008.png
27,27,5,5,22,22,43,Train/43/43_00121_00009.png
28,29,5,6,23,24,43,Train/43/43_00121_00010.png
28,28,5,5,23,23,43,Train/43/43_00121_00011.png
30,30,5,5,25,25,43,Train/43/43_00121_00012.png
30,30,5,5,25,25,43,Train/43/43_00121_00013.png
31,32,5,6,25,27,43,Train/43/43_00121_00014.png
33,32,6,5,28,27,43,Train/43/43_00121_00015.png
34,35,5,6,29,30,43,Train/43/43_00121_00016.png
